"filename", "language", "Python", "reStructuredText", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkCommonExecutionModel.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkCommonMath.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkCommonMisc.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkCommonPython.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkCommonSystem.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkCommonTransforms.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkDomainsChemistry.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkDomainsChemistryOpenGL2.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersAMR.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersCellGrid.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersCore.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersExtraction.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersFlowPaths.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersGeneral.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersGeneric.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersGeometry.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersGeometryPreview.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersHybrid.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersHyperTree.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersImaging.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersModeling.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks\hook-vtkmodules.vtkFiltersParallel.py", "Python", 2, 0, 0, 0, 0, 11, 3, 16
