Date : 2025-05-15 20:12:39
Directory : c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza
Total : 1304 files,  47288 codes, 21300 comments, 13363 blanks, all 81951 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtTextToSpeech.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtWebChannel.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtWebEngineCore.py                                       | Python           |          9 |         14 |          5 |         28 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtWebEngineQuick.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtWebEngineWidgets.py                                    | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtWebSockets.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtWidgets.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.QtXml.py                                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.py                                                       | Python           |          8 |         14 |          5 |         27 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt6.uic.py                                                   | Python           |          2 |         13 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qt3DAnimation.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qt3DCore.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qt3DExtras.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qt3DInput.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qt3DLogic.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qt3DRender.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtAxContainer.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtCharts.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtConcurrent.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtCore.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtDataVisualization.py                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtGui.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtHelp.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtLocation.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtMacExtras.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtMultimedia.py                                        | Python           |          3 |         13 |          4 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtMultimediaWidgets.py                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtNetwork.py                                           | Python           |          3 |         10 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtOpenGL.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtOpenGLFunctions.py                                   | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtPositioning.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtPrintSupport.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtQml.py                                               | Python           |          6 |         10 |          4 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtQuick.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtQuickControls2.py                                    | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtQuickWidgets.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtRemoteObjects.py                                     | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtScript.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtScriptTools.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtScxml.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtSensors.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtSerialPort.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtSql.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtSvg.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtTest.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtTextToSpeech.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtUiTools.py                                           | Python           |          3 |         10 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebChannel.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebEngine.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebEngineCore.py                                     | Python           |          7 |         12 |          4 |         23 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebEngineWidgets.py                                  | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebKit.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebKitWidgets.py                                     | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWebSockets.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWidgets.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtWinExtras.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtX11Extras.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtXml.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.QtXmlPatterns.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.Qwt5.py                                                | Python           |         14 |         10 |          8 |         32 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide2.py                                                     | Python           |          7 |         14 |          5 |         26 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.Qt3DAnimation.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.Qt3DCore.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.Qt3DExtras.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.Qt3DInput.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.Qt3DLogic.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.Qt3DRender.py                                          | Python           |          4 |         13 |          4 |         21 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtAxContainer.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtBluetooth.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtCharts.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtConcurrent.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtCore.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtDBus.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtDataVisualization.py                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtDesigner.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtGraphs.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtGraphsWidgets.py                                     | Python           |          3 |         11 |          4 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtGui.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtHelp.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtHttpServer.py                                        | Python           |          3 |         12 |          4 |         19 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtLocation.py                                          | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtMultimedia.py                                        | Python           |          3 |         13 |          4 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtMultimediaWidgets.py                                 | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtNetwork.py                                           | Python           |          3 |         10 |          3 |         16 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtNetworkAuth.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtNfc.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtOpenGL.py                                            | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtOpenGLWidgets.py                                     | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtPdf.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtPdfWidgets.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtPositioning.py                                       | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtPrintSupport.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtQml.py                                               | Python           |          5 |         10 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtQuick.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtQuick3D.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtQuickControls2.py                                    | Python           |          3 |         10 |          4 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtQuickWidgets.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtRemoteObjects.py                                     | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtScxml.py                                             | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSensors.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSerialBus.py                                         | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSerialPort.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSpatialAudio.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSql.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtStateMachine.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSvg.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtSvgWidgets.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtTest.py                                              | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtTextToSpeech.py                                      | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtUiTools.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtWebChannel.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtWebEngineCore.py                                     | Python           |         10 |         14 |          6 |         30 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtWebEngineQuick.py                                    | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtWebEngineWidgets.py                                  | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtWebSockets.py                                        | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtWidgets.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.QtXml.py                                               | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PySide6.py                                                     | Python           |          8 |         15 |          6 |         29 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-_osx_support.py                                                | Python           |          1 |         16 |          3 |         20 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-_pyi_rth_utils.py                                              | Python           |          4 |         11 |          3 |         18 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-_tkinter.py                                                    | Python           |          3 |         16 |          4 |         23 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-babel.py                                                       | Python           |          8 |         13 |          4 |         25 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-difflib.py                                                     | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-distutils.command.check.py                                     | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-distutils.py                                                   | Python           |          9 |         20 |          5 |         34 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-distutils.util.py                                              | Python           |          1 |         11 |          2 |         14 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-django.contrib.sessions.py                                     | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-django.core.cache.py                                           | Python           |          2 |         10 |          3 |         15 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-django.core.mail.py                                            | Python           |         14 |         10 |          2 |         26 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-django.core.management.py                                      | Python           |          3 |         13 |          4 |         20 |
