"filename", "language", "Python", "pip requirements", "Properties", "MS SQL", "Batch", "PowerShell", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\__init__.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 15, 16, 103
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py", "Python", 252, 0, 0, 0, 0, 0, 0, 0, 19, 67, 338
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\_version.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\connection.py", "Python", 422, 0, 0, 0, 0, 0, 0, 0, 54, 97, 573
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\connectionpool.py", "Python", 835, 0, 0, 0, 0, 0, 0, 0, 115, 183, 1133
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 13, 37
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py", "Python", 414, 0, 0, 0, 0, 0, 0, 0, 9, 97, 520
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\low_level.py", "Python", 285, 0, 0, 0, 0, 0, 0, 0, 51, 62, 398
